lca_case_employer_name,total_workers
"PRICEWATERHOUSECOOPERS, LLP",5835.0
DELOITTE CONSULTING LLP,3474.0
ERNST & YOUNG U.S. LLP,2663.0
DELOITTE & TOUCHE LLP,2053.0
MPHASIS CORPORATION,1792.0
CAPGEMINI FINANCIAL SERVICES USA INC,1172.0
WIPRO LIMITED,1172.0
TATA CONSULTANCY SERVICES LIMITED,946.0
IGATE TECHNOLOGIES INC.,817.0
JPMORGAN CHASE & CO.,630.0
"BLOOMBERG, LP",621.0
PRICEWATERHOUSECOOPERS ADVISORY LLC,600.0
"GOLDMAN, SACHS & CO.",599.0
PRICEWATERHOUSECOOPERS LLP,560.0
AMAZON CORPORATE LLC,541.0
DELOITTE TAX LLP,534.0
ITNEWTON INC,483.0
DELOITTE TRANSACTIONS AND BUSINESS ANALYTICS LLP,450.0
MORGAN STANLEY & CO. LLC,448.0
INFOSYS LIMITED,437.0
"EXLSERVICE.COM, LLC",427.0
"RBC CAPITAL MARKETS, LLC",412.0
MERRILL LYNCH,400.0
MINDTREE LIMITED,390.0
DELOITTE &AMP; TOUCHE LLP,340.0
BANK OF AMERICA N.A.,328.0
CREDIT SUISSE SECURITIES (USA) LLC,311.0
GOOGLE INC.,289.0
COLUMBIA UNIVERSITY,288.0
LARSEN & TOUBRO INFOTECH LIMITED,280.0
POLARIS SOFTWARE LAB (INDIA) LTD.,261.0
SYNTEL CONSULTING INC.,247.0
KPMG LLP,233.0
ACCENTURE LLP,233.0
CITIGROUP GLOBAL MARKETS INC.,229.0
BARCLAYS SERVICES CORP.,225.0
"BLACKROCK FINANCIAL MANAGEMENT, INC.",224.0
SYNTEL INC,221.0
MOUNT SINAI MEDICAL CENTER,220.0
CSC COVANSYS CORPORATION,220.0
"CITIBANK, N.A.",207.0
HEADSTRONG SERVICES LLC,197.0
UBS SECURITIES LLC,193.0
DEUTSCHE BANK SECURITIES INC.,189.0
"HCL AMERICA, INC.",189.0
GEMINIITLABS INC,166.0
GOLDMAN SACHS & CO.,161.0
MEMORIAL SLOAN-KETTERING CANCER CENTER,158.0
BARCLAYS CAPITAL INC.,149.0
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,147.0
"MCKINSEY & COMPANY, INC. UNITED STATES",146.0
NEW YORK UNIVERSITY,141.0
WEILL CORNELL MEDICAL COLLEGE,139.0
"THE BOSTON CONSULTING GROUP, INC.",139.0
DELOITTE LLP,135.0
BIRLASOFT INC,135.0
DEUTSCHE BANK NEW YORK BRANCH,131.0
IDEO LP,130.0
JEFFERIES LLC,124.0
"BLACKROCK INVESTMENT MANAGEMENT, LLC",118.0
"NESS USA, INC.",117.0
IBM CORPORATION,117.0
"FUJITSU AMERICA, INC.",108.0
"ZS ASSOCIATES, INC.",107.0
DELOITTE FINANCIAL ADVISORY SERVICES LLP,105.0
THE CAPITAL MARKETS COMPANY,105.0
ROYAL BANK OF CANADA,98.0
HITACHI CONSULTING CORPORATION,98.0
"COMPREHAB, INC.",97.0
SAPIENT CORPORATION,95.0
"SYNECHRON, INC.",94.0
ALBERT EINSTEIN COLLEGE OF MEDICINE OF YESHIVA UNI,93.0
"CROSSCOUNTRY CONSULTING, LLC",91.0
TANISHA SYSTEMS INC,84.0
COMPUTEK SOULUTIONS INC,81.0
"BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.",81.0
"THE VERITAS HEALTHCARE SOLUTIONS, LLC",76.0
"SG AMERICAS SECURITIES, LLC",75.0
KFORCE INC.,72.0
MORGAN STANLEY SMITH BARNEY LLC,70.0
SRK SOLUTIONS INC,70.0
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY,",69.0
BOOZ & COMPANY (N.A.) INC.,68.0
WHITE & CASE LLP,67.0
"CSC CONSULTING, INC.",66.0
"HSBC BANK USA, N.A.",66.0
"A.T. KEARNEY, INC.",65.0
THOMSON REUTERS (MARKETS) LLC,63.0
UBS FINANCIAL SERVICES INC,61.0
ZENSAR TECHNOLOGIES INC.,61.0
"ORACLE AMERICA, INC.",60.0
"ENGAGE INFORMATION, INC.",60.0
NYC-HHC HARLEM HOSPITAL CENTER,59.0
"NOMURA AMERICA SERVICES, LLC",59.0
"AMERICAN INTERNATIONAL GROUP, INC.",58.0
BAHA INDUSTRIES CORP.,58.0
MACQUARIE HOLDINGS (USA) INC.,56.0
"FACEBOOK, INC.",55.0
JEAN MARTIN INC,54.0
STANDARD & POOR'S FINANCIAL SERVICES LLC,54.0
NEW YORK UNIVERSITY HOSPITALS CENTER,52.0
"PERSISTENT SYSTEMS, INC.",52.0
"MARLABS, INC",52.0
"TECH MAHINDRA ( AMERICAS), INC",51.0
UBS AG,51.0
ALLIANCEBERNSTEIN L.P.,50.0
"GRANDISON MANAGEMENT, INC.",50.0
BARCLAYS BANK PLC,49.0
JPMORGAN CHASE &AMP; CO.,49.0
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",49.0
VALTECH SOLUTIONS INC.,47.0
"PROLIFICS, INC.",47.0
HSBC SECURITIES (USA) INC.,47.0
RESEARCH FOUNDATION OF CUNY,46.0
PRIME HEALTHCARE SERVICES INC,46.0
"NOMURA SECURITIES INTERNATIONAL, INC.",45.0
ARISTON TEK INC,44.0
"THE MILL GROUP, INC.",44.0
"TECH MAHINDRA (AMERICAS), INC.",43.0
"D. E. SHAW & CO., L.P.",43.0
TRINGAPPS INC,43.0
SULLIVAN & CROMWELL LLP,42.0
IBM INDIA PRIVATE LIMITED,42.0
THE ROCKEFELLER UNIVERSITY,42.0
"MOODY'S INVESTORS SERVICE, INC.",42.0
"PRECISION GLOBAL CONSULTING, INC.",42.0
LYCEE FRANCAIS DE NEW YORK,41.0
"FINSOFT CONSULTANTS, INC.",41.0
"CITICORP NORTH AMERICA, INC.",41.0
ST. BARNABAS HOSPITAL,40.0
"SAGITEC SOLUTIONS, LLC",40.0
"METRICSTREAM, INC.",40.0
POLARIS SOFTWARE LAB (INDIA) LIMITED,40.0
"RCM TECHNOLOGIES, INC.",40.0
RENOWNED CORP,39.0
"GLOBAL APPLICATIONS SOLUTION, LLC",39.0
EMC CORPORATION,39.0
"TWO SIGMA INVESTMENTS, LLC",39.0
AMERICAN EXPRESS COMPANY,38.0
R/GA MEDIA GROUP INC.,38.0
CITADEL LLC,38.0
MORGAN STANLEY & CO LLC,38.0
"MARKIT NORTH AMERICA, INC.",38.0
"MOODY'S ANALYTICS, INC.",38.0
"AIG PC GLOBAL SERVICES, INC.",37.0
"OLIVER WYMAN, INC.",37.0
OPENWAVE COMPUTING LLC,37.0
ST. LUKE'S-ROOSEVELT HOSPITAL CENTER,37.0
ADOBE SYSTEMS INCORPORATED,37.0
"NAGARRO, INC.",37.0
KOHN PEDERSON FOX ASSOCIATES PC,36.0
CPT GLOBAL INC,36.0
MPG OPERATIONS LLC,36.0
"AMERICAN EXPRESS TRAVEL RELATED SERVICES CO., INC.",35.0
"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP",35.0
