lca_case_employer_name,total_workers
"PRICEWATERHOUSECOOPERS, LLP",5835.0
DELOITTE CONSULTING LLP,3474.0
ERNST & YOUNG U.S. LLP,2663.0
DELOITTE & TOUCHE LLP,2053.0
MPHASIS CORPORATION,1792.0
CAPGEMINI FINANCIAL SERVICES USA INC,1172.0
WIPRO LIMITED,1172.0
TATA CONSULTANCY SERVICES LIMITED,946.0
IGATE TECHNOLOGIES INC.,817.0
JPMORGAN CHASE & CO.,630.0
"BLOOMBERG, LP",621.0
PRICEWATERHOUSECOOPERS ADVISORY LLC,600.0
"GOLDMAN, SACHS & CO.",599.0
PRICEWATERHOUSECOOPERS LLP,560.0
AMAZON CORPORATE LLC,541.0
DELOITTE TAX LLP,534.0
ITNEWTON INC,483.0
DELOITTE TRANSACTIONS AND BUSINESS ANALYTICS LLP,450.0
MORGAN STANLEY & CO. LLC,448.0
INFOSYS LIMITED,437.0
